timestamp,gpu1_mem_mib,gpu3_mem_mib
2026-07-23 23:49:55,1061,5291
2026-07-23 23:50:25,1083,5291
2026-07-23 23:50:55,1083,5291
2026-07-23 23:51:26,1083,1239
2026-07-23 23:51:56,1065,1239
2026-07-23 23:52:26,1065,1249
2026-07-23 23:52:56,1087,1249
2026-07-23 23:53:26,1087,1249
2026-07-23 23:53:57,1087,1255
2026-07-23 23:54:27,1087,1255
2026-07-23 23:54:57,1087,1255
2026-07-23 23:55:27,5147,1271
2026-07-23 23:55:57,5147,1271
2026-07-23 23:56:28,5147,1271
2026-07-23 23:56:58,5147,1259
2026-07-23 23:57:28,5147,1259
2026-07-23 23:57:58,1089,1259
2026-07-23 23:58:28,1089,5317
2026-07-23 23:58:58,1089,5317
2026-07-23 23:59:29,1091,5317
2026-07-23 23:59:59,1091,5317
2026-07-24 00:00:29,1093,1265
2026-07-24 00:00:59,1093,1265
2026-07-24 00:01:29,1093,1265
2026-07-24 00:02:00,1113,1261
2026-07-24 00:02:30,1113,1261
2026-07-24 00:03:00,1115,1261
2026-07-24 00:03:30,1115,1271
2026-07-24 00:04:00,1115,1271
2026-07-24 00:04:31,5167,1271
2026-07-24 00:05:01,5167,1277
2026-07-24 00:05:31,5167,1277
2026-07-24 00:06:01,5167,1277
2026-07-24 00:06:31,1117,1289
2026-07-24 00:07:02,1117,1289
2026-07-24 00:07:32,1117,1289
2026-07-24 00:08:02,1109,5329
2026-07-24 00:08:32,1109,5329
2026-07-24 00:09:02,1109,5329
2026-07-24 00:09:33,1113,5329
2026-07-24 00:10:03,1113,5329
2026-07-24 00:10:33,1129,1281
2026-07-24 00:11:03,1129,1281
2026-07-24 00:11:33,1129,1269
2026-07-24 00:12:04,1111,1269
2026-07-24 00:12:34,1111,1269
2026-07-24 00:13:04,5181,1283
2026-07-24 00:13:34,5181,1283
2026-07-24 00:14:04,5181,1283
2026-07-24 00:14:34,5181,1301
2026-07-24 00:15:05,5181,1301
2026-07-24 00:15:35,1123,1301
2026-07-24 00:16:05,1123,1301
2026-07-24 00:16:35,1117,1301
2026-07-24 00:17:06,1137,1301
2026-07-24 00:17:36,1137,5357
2026-07-24 00:18:06,1131,5357
2026-07-24 00:18:36,1131,5357
2026-07-24 00:19:06,1129,5357
2026-07-24 00:19:36,1129,5357
2026-07-24 00:20:07,1129,1309
2026-07-24 00:20:37,1141,1309
2026-07-24 00:21:07,1141,1311
2026-07-24 00:21:37,5187,1311
2026-07-24 00:22:08,5187,1311
2026-07-24 00:22:38,5187,1313
2026-07-24 00:23:08,5187,1313
2026-07-24 00:23:38,5187,1313
2026-07-24 00:24:08,15,1311
2026-07-24 00:24:38,15,1325
2026-07-24 00:25:09,15,1325
2026-07-24 00:25:39,15,1321
2026-07-24 00:26:09,15,1321
2026-07-24 00:26:39,15,1321
2026-07-24 00:27:10,15,5361
2026-07-24 00:27:40,15,5361
2026-07-24 00:28:10,15,5361
2026-07-24 00:28:40,15,5361
2026-07-24 00:29:10,15,142
2026-07-24 00:29:41,15,142
2026-07-24 00:30:11,15,142
2026-07-24 00:30:41,15,142
2026-07-24 00:31:11,15,142
2026-07-24 00:31:41,15,142
2026-07-24 00:32:12,15,142
2026-07-24 00:32:42,STOPPED,STOPPED
